[2025-04-25T15:30:54.446Z] - User online status updated (ip=::ffff:192.168.1.8, port=65358, socketId=3hqfx0zxe1SExs9DAABL)
[2025-04-25T15:30:56.206Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65358, socketId=3hqfx0zxe1SExs9DAABL)
[2025-04-25T15:30:56.277Z] - User offline status updated (ip=::ffff:192.168.1.8, port=65358, socketId=3hqfx0zxe1SExs9DAABL)
[2025-04-25T15:38:57.742Z] - Peer connected (ip=::ffff:192.168.1.8, port=49280, socketId=fjoy3ETgkqZIlxUsAABN)
[2025-04-25T15:38:57.752Z] - User joined channel (ip=::ffff:192.168.1.8, port=49280, socketId=fjoy3ETgkqZIlxUsAABN)
[2025-04-25T15:38:57.786Z] - Peer connected (ip=::ffff:192.168.1.8, port=49279, socketId=TGBbMK4OZTxoXPuyAABQ)
[2025-04-25T15:38:57.793Z] - User joined channel (ip=::ffff:192.168.1.8, port=49279, socketId=TGBbMK4OZTxoXPuyAABQ)
[2025-04-25T15:38:57.873Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=49280, socketId=fjoy3ETgkqZIlxUsAABN)
[2025-04-25T15:38:57.881Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=49279, socketId=TGBbMK4OZTxoXPuyAABQ)
[2025-04-25T15:38:58.483Z] - Peer disconnected (ip=127.0.0.1, port=57796, socketId=io4Gd2xVkp8Do6Q4AABF)
[2025-04-25T15:38:58.512Z] - Peer connected (ip=127.0.0.1, port=57887, socketId=HH3-9SaM20NS4ncXAABS)
[2025-04-25T15:38:58.525Z] - User joined channel (ip=127.0.0.1, port=57887, socketId=HH3-9SaM20NS4ncXAABS)
[2025-04-25T15:38:58.634Z] - Peer disconnected (ip=127.0.0.1, port=57887, socketId=HH3-9SaM20NS4ncXAABS)
[2025-04-25T15:38:58.664Z] - Peer connected (ip=127.0.0.1, port=57886, socketId=uKlZHa-wRL4vPqorAABU)
[2025-04-25T15:38:58.674Z] - User joined channel (ip=127.0.0.1, port=57886, socketId=uKlZHa-wRL4vPqorAABU)
[2025-04-25T15:41:12.989Z] - Peer connected (ip=::ffff:192.168.1.8, port=49426, socketId=_9m6bejT7fKY3-ZlAABW)
